PITCHER,DATE,INNING,BATTER_IN_INNING,PITCH_NUMBER,PITCH_TYPE,SPIN_RATE,VELO,RELEASE_EXTENSION,RELEASE_SIDE,RELEASE_HEIGHT
PITCHER A,20190405,1,1,1,FB,2292.2,93.1776,5.06765,-2.25413,5.75803
PITCHER A,20190405,1,1,2,FB,2307.73,93.4775,5.24805,-2.11087,6.14694
PITCHER A,20190405,1,1,3,CH,1686.43,88.2956,5.39046,-2.09868,6.19514
PITCHER A,20190405,1,1,4,CH,1773.45,86.4683,5.48628,-2.22799,6.12356
PITCHER A,20190405,1,1,5,CH,1612.63,88.9184,5.65139,-2.16335,6.1714
PITCHER A,20190405,1,1,6,FB,2287.22,95.745,5.1516,-2.24322,6.1933
PITCHER A,20190405,1,2,1,CH,1573.4,87.3207,5.62953,-2.13328,6.02642
PITCHER A,20190405,1,3,1,FB,2130.39,92.6929,5.32457,-2.20079,5.89739
PITCHER A,20190405,1,3,2,FB,2200.47,93.5344,5.2307,-2.38582,5.89106
PITCHER A,20190405,1,3,3,CH,1565.39,86.9393,5.57315,-2.15956,6.06477
PITCHER A,20190405,1,3,4,CB,2647.47,81.309,4.88358,-2.2104,6.03352
PITCHER A,20190405,1,3,5,FB,2197.67,93.5701,5.5283,-2.25692,5.77211
PITCHER A,20190405,1,3,6,FB,2186.67,94.8327,5.5332,-2.19342,5.71956
PITCHER A,20190405,1,4,1,FB,2203.24,92.9812,5.34802,-2.35723,5.99482
PITCHER A,20190405,2,1,1,CH,1429.6,85.7779,5.28452,-2.44739,6.149
PITCHER A,20190405,2,1,2,FB,2195.99,91.9357,5.18475,-2.36509,5.90933
PITCHER A,20190405,2,2,1,FB,2139.28,92.8562,5.23278,-2.21064,5.99902
PITCHER A,20190405,2,2,2,SL,2494.36,86.9363,5.28539,-2.25111,6.07337
PITCHER A,20190405,2,2,3,FB,2301.63,95.14,5.45307,-2.16746,5.9504
PITCHER A,20190405,2,2,4,FB,2280.39,95.2531,5.30516,-2.24807,5.74213
PITCHER A,20190405,2,2,5,FB,2169.87,94.6513,5.36981,-2.22178,5.98321
PITCHER A,20190405,2,2,6,CB,2776.74,83.2436,5.04035,-2.36422,5.99938
PITCHER A,20190405,2,2,7,CB,2732.33,82.629,5.14682,-2.25531,6.04055
PITCHER A,20190405,2,3,1,FB,2216.5,94.6219,5.45678,-2.25407,5.97955
PITCHER A,20190405,2,4,1,FB,2256.59,94.317,5.45108,-2.15173,5.85829
PITCHER A,20190405,2,4,2,FB,2249.63,93.5546,5.52142,-2.33358,5.69056
PITCHER A,20190405,2,4,3,FB,2176.15,94.5648,5.5631,-2.15779,5.82369
PITCHER A,20190405,3,1,1,FB,2239.4,92.4351,5.38284,-2.30251,5.9372
PITCHER A,20190405,3,1,2,FB,2291.06,94.5693,5.35905,-2.14839,5.96061
PITCHER A,20190405,3,1,3,FB,2154.11,93.4812,5.38722,-2.2777,5.81818
PITCHER A,20190405,3,1,4,FB,2229.85,95.8472,5.62258,-2.14278,6.02966
PITCHER A,20190405,3,1,5,FB,2236.37,93.6043,5.3315,-2.26897,5.84315
PITCHER A,20190405,3,2,1,CH,1544.34,88.4598,5.92464,-2.08543,6.02814
PITCHER A,20190405,3,2,2,CH,1620.49,87.6194,5.78717,-2.11429,6.18791
PITCHER A,20190405,3,2,3,CB,2669.02,80.9325,4.84829,-2.24547,6.0273
PITCHER A,20190405,3,2,4,CH,1428.94,86.8567,5.63868,-2.2139,6.10305
PITCHER A,20190405,3,2,5,FB,2272.37,95.082,5.4772,-2.21768,6.00478
PITCHER A,20190405,3,2,6,FB,2277.83,94.7204,5.577,-2.32821,5.9129
PITCHER A,20190405,3,3,1,CB,2692.27,81.2713,5.02689,-2.14444,5.98968
PITCHER A,20190405,3,3,2,FB,2328.5,95.4826,5.56802,-2.09198,5.97571
PITCHER A,20190405,3,3,3,FB,2224.06,95.2939,5.69752,-2.22783,5.81582
PITCHER A,20190405,3,3,4,FB,2321.54,95.2219,5.61525,-2.18305,6.05772
PITCHER A,20190405,4,1,1,CH,1470.41,87.4833,5.62593,-2.20569,6.19195
PITCHER A,20190405,4,1,2,CH,1496.06,87.5968,5.63869,-2.12576,6.06941
PITCHER A,20190405,4,1,3,FB,2423.87,92.6039,5.30082,-2.32491,5.8081
PITCHER A,20190405,4,1,4,CB,2644.77,80.7606,5.15899,-2.21527,5.97855
PITCHER A,20190405,4,2,1,CH,1580.69,88.4517,5.95082,-2.22156,5.98588
PITCHER A,20190405,4,2,2,CH,1497.22,87.4776,5.67437,-2.14474,6.16181
PITCHER A,20190405,4,2,3,CH,1458.97,89.1422,5.84727,-2.14225,5.97584
PITCHER A,20190405,4,3,1,FB,2302.94,93.4283,5.86355,-2.15351,5.86126
PITCHER A,20190405,4,3,2,FB,2262.64,94.3731,5.47526,-2.32923,5.84599
PITCHER A,20190405,4,3,3,CH,1529.89,88.2473,5.66339,-2.35805,5.90784
PITCHER A,20190405,4,3,4,FB,2316.56,93.6732,5.46538,-2.15454,5.90262
PITCHER A,20190405,4,3,5,FB,2103.98,93.1954,5.49204,-2.25549,5.76737
PITCHER A,20190405,4,3,6,FB,2248.87,94.8334,5.50968,-2.21915,5.72527
PITCHER A,20190405,4,4,1,FB,2139,94.2719,5.57151,-2.27262,5.69565
PITCHER A,20190405,4,4,2,CB,2748.09,82.1764,5.33658,-2.44451,5.84756
PITCHER A,20190405,4,4,3,FB,2242.05,94.766,5.6423,-2.2462,5.7855
PITCHER A,20190405,4,4,4,FB,2109.08,94.313,5.55021,-2.40845,5.64454
PITCHER A,20190405,4,4,5,FB,2132.73,94.2122,5.42513,-2.31306,5.63635
PITCHER A,20190405,4,5,1,FB,2071.3,92.8279,5.65919,-2.25375,6.02119
PITCHER A,20190405,4,5,2,CH,1494.45,88.6629,6.01471,-2.36866,5.9801
PITCHER A,20190405,4,5,3,CH,1557.89,89.1291,5.94786,-2.38269,5.96723
PITCHER A,20190405,4,6,1,FB,2181.69,93.7891,5.35632,-2.27033,5.7192
PITCHER A,20190405,4,6,2,FB,2267.54,94.0084,5.70601,-2.22811,5.71397
PITCHER A,20190405,4,6,3,FB,2216.39,94.1949,5.59386,-2.2697,5.73551
PITCHER A,20190405,4,6,4,FB,2227.13,94.4638,5.6702,-2.21247,5.92701
PITCHER A,20190405,4,6,5,CB,2818.14,83.6617,5.33359,-2.36232,5.98143
PITCHER A,20190405,4,6,6,FB,2242.83,94.1103,5.56415,-2.35453,5.7415
PITCHER A,20190405,5,1,1,FB,2110.66,91.7984,5.07157,-2.28754,5.90747
